FF6655, 001133, 331133, 550000, 005511, 7733BB, 774477, 997799, 339977, DD00DD, DD5533, 663311, 7733FF, FFBBAA, 773311, 990099
000000, 000000, 000000, EEFFEE, 00FFEE, 000000, BB9977, BB6655, 777799, 002277, 552277, 110000, 0066BB, 775511, 774477, 778877
33AA99, FF00FF, 556655, 6633BB, 7733FF, FFBBAA, AA3311, BB00BB, 000000, 000000, 000000, 00FFEE, 000000, 000000, BB9977, DD6655
EE88EE, 0033BB, 7733BB, BB0000, 008877, 776655, 774477, 559955, 55BBAA, 331133, FF7766, 664477, 7733FF, FFBBAA, CC3311, DD00DD
000000, 000000, 000000, BB8877, 992233, DD3377, FFBBAA, AA4499, 9966FF, 77BBAA, 554499, BB33BB, 77FFEE, AAAA99, 000000, 11FFEE
EE0000, 11BBAA, BB6655, 772211, 774477, EE6655, EEFFEE, EEFFEE, 000000, 000000, 000000, BB6655, 771133, 775511, BBCCBB, EE2277
556655, 22CCBB, 7766BB, BB6633, 77FFEE, 11AA99, EE5533, 774433, 77FFEE, EEBBAA, 000000, CC7766, CCDDCC, DD00DD, EE00DD, EEFFEE
000000, 000000, 000000, BB6655, 771133, 775511, 55DDCC, EE5577, 999977, 339977, BB55BB, BBAA22, EEFFEE, CC6655, CCDDCC, EEFFEE
00FFEE, 000000, 000000, 000000, 000000, FF7766, 001177, 000000, 000000, 000000, 000000, BB6655, 771133, 775511, 55DDCC, EE5577
999977, 339977, BB55BB, BBAA22, EEFFEE, CC6655, CCDDCC, EEFFEE, 00FFEE, 556655, 770000, 000000, 11CCBB, FF7766, DD1177, 332233
000000, 000000, 000000, 5500DD, 110011, 5500FF, BB3355, 550099, BB2233, DD3355, 772233, 5533FF, 330033, 000033, 000000, 550099
BB00DD, 3311BB, FF00FF, 551155, BB1155, FF11FF, 332277, DD2233, 992233, 000000, 000099, 990099, BB0000, 111111, 991155, 000000
000000, BB22DD, FF0099, 9911BB, 5566BB, 7711BB, 002233, 777755, BB2233, DD11BB, 331111, 993355, 7722DD, 551111, BB5599, 3333FF
000000, 000000, 000000, 000000, 000000, 000000, 0000FF, 330000, 0000BB, 118877, 660000, 667766, 0000FF, 330000, 5500BB, FF8877
773355, 775511, 558877, 777755, 778877, 000000, 000000, 000000, 000000, 000000, 000000, 5500DD, 110011, 5500FF, BB3355, 550099
BB2233, DD3355, 772233, 5533FF, 330033, 000033, 000000, 550099, BB00DD, 3311BB, FF00FF, 551155, BB1155, FF11FF, 332277, DD2233
992233, 000000, 000099, 990099, BB0000, 111111, 991155, 000000, 000000, BB22DD, FF0099, 9911BB, 5566BB, 7711BB, 002233, 777755
BB2233, DD11BB, 331111, 993355, 7722DD, 551111, BB5599, 3333FF, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
3300DD, 000000, 000033, 330033, 990000, 550055, 000000, 000000, 000000, 9900FF, 770033, 330099, 332277, BB0099, 0000DD, BB22BB
9900DD, FF0099, DD0055, 331133, BB00FF, 330055, 992211, 551177, 992233, 000000, 000099, 990099, BB0000, 111111, 991155, 000000
000000, BB22DD, FF0099, 9911BB, 5566BB, 7711BB, 002233, 777755, BB2233, DD11BB, 331111, 993355, 7722DD, 551111, BB5599, 3333FF
000000, 770000, 551133, DD33BB, 110099, DD2277, 116655, 5500FF, 114433, 336655, 774433, 557766, BB11BB, FF11BB, 7700FF, 552211
1122DD, 333311, 772277, 553355, 333355, FF33FF, 3344FF, 334433, FF4433, 000000, 0000FF, FF00FF, 110000, 112211, 7733DD, 550000
3300DD, 115533, 6600FF, FF3311, 55CCBB, 773311, 004433, 77DDCC, 114433, 333311, 332211, FF6655, 775533, 552211, 11AA99, AA7766
000000, 000000, 000000, FF4433, 333355, 000000, 008877, BB0000, 0011BB, 11FFEE, DD0000, DDEEDD, 008877, 770000, 000000, 008877
770000, 000000, BBCCBB, EE00DD, 557766, 000000, 000000, 000000, 000000, 770000, 551133, DD33BB, 110099, DD2277, 116655, 5500FF
114433, 336655, 774433, 557766, 330033, FF0033, 7700FF, 552211, 1122DD, 333311, 772277, 553355, 333355, FF33FF, 3344FF, 550033
FF4433, 000000, 0000FF, FF00FF, 110000, 112211, 7733DD, 550000, 3300DD, 115533, 6600FF, FF3311, 55CCBB, 773311, 004433, 77DDCC
114433, 333311, 332211, FF6655, 775533, 552211, 11AA99, AA7766, 7711FF, 000000, 000077, 770077, 770000, FF00FF, 5500FF, 000000
000000, 772277, 770077, 771177, FF55DD, FF1177, 0011FF, FF6666, 7711FF, 771177, FF00FF, 7722FF, FF2277, FF00FF, 7744FF, 553377
BB22DD, 000000, 0000BB, BB00BB, 110000, 551155, DD2211, 000000, 000000, 113377, FF00BB, BB2211, 338877, 992211, 0022DD, 999922
1122DD, 772211, DD1155, BB4433, 993377, 331155, 1166FF, BB44FF, FF4433, 000000, 0000FF, FF00FF, 110000, 112211, 7733DD, 550000
3300DD, 115533, 6600FF, FF3311, 55CCBB, 773311, 004433, 77DDCC, 114433, 333311, 332211, FF6655, 775533, 552211, 11AA99, AA7766
